ID         Site                     App        Workdir                    State              Tags                                                                                                         
33979635   2x2_production_polaris   analysis   workdir/v0_102_analysis    JOB_FINISHED       {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979636   2x2_production_polaris   analysis   workdir/v0_103_analysis    JOB_FINISHED       {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979637   2x2_production_polaris   analysis   workdir/v0_104_analysis    JOB_FINISHED       {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979638   2x2_production_polaris   analysis   workdir/v0_105_analysis    JOB_FINISHED       {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979639   2x2_production_polaris   analysis   workdir/v0_106_analysis    JOB_FINISHED       {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979640   2x2_production_polaris   analysis   workdir/v0_107_analysis    AWAITING_PARENTS   {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979641   2x2_production_polaris   analysis   workdir/v0_108_analysis    JOB_FINISHED       {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979642   2x2_production_polaris   analysis   workdir/v0_109_analysis    JOB_FINISHED       {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979643   2x2_production_polaris   analysis   workdir/v0_110_analysis    JOB_FINISHED       {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979644   2x2_production_polaris   analysis   workdir/v0_111_analysis    JOB_FINISHED       {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979645   2x2_production_polaris   analysis   workdir/v0_112_analysis    JOB_FINISHED       {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979646   2x2_production_polaris   analysis   workdir/v0_113_analysis    JOB_FINISHED       {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979647   2x2_production_polaris   analysis   workdir/v0_114_analysis    JOB_FINISHED       {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979648   2x2_production_polaris   analysis   workdir/v0_115_analysis    JOB_FINISHED       {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979649   2x2_production_polaris   analysis   workdir/v0_116_analysis    JOB_FINISHED       {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979650   2x2_production_polaris   analysis   workdir/v0_117_analysis    JOB_FINISHED       {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979651   2x2_production_polaris   analysis   workdir/v0_118_analysis    JOB_FINISHED       {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
33979652   2x2_production_polaris   analysis   workdir/v0_119_analysis    JOB_FINISHED       {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v0', 'job_start': '2'}     
