ID         Site                     App           Workdir                       State          Tags                                                                                                               
33989650   2x2_production_polaris   analysis_v1   workdir/v3_103_analysis_v1    JOB_FINISHED   {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989651   2x2_production_polaris   analysis_v1   workdir/v3_104_analysis_v1    JOB_FINISHED   {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989652   2x2_production_polaris   analysis_v1   workdir/v3_105_analysis_v1    JOB_FINISHED   {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989653   2x2_production_polaris   analysis_v1   workdir/v3_106_analysis_v1    JOB_FINISHED   {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989654   2x2_production_polaris   analysis_v1   workdir/v3_107_analysis_v1    FAILED         {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989655   2x2_production_polaris   analysis_v1   workdir/v3_108_analysis_v1    JOB_FINISHED   {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989656   2x2_production_polaris   analysis_v1   workdir/v3_109_analysis_v1    JOB_FINISHED   {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989657   2x2_production_polaris   analysis_v1   workdir/v3_110_analysis_v1    JOB_FINISHED   {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989658   2x2_production_polaris   analysis_v1   workdir/v3_111_analysis_v1    JOB_FINISHED   {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
33989659   2x2_production_polaris   analysis_v1   workdir/v3_112_analysis_v1    JOB_FINISHED   {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_analysis_v1_v3', 'job_start': '0'}     
