ID         Site                     App           Workdir                       State              Tags                                                                                                            
33977596   2x2_production_polaris   flow2supera   workdir/v0_107_flow2supera    AWAITING_PARENTS   {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977597   2x2_production_polaris   flow2supera   workdir/v0_108_flow2supera    JOB_FINISHED       {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977598   2x2_production_polaris   flow2supera   workdir/v0_109_flow2supera    JOB_FINISHED       {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977599   2x2_production_polaris   flow2supera   workdir/v0_110_flow2supera    JOB_FINISHED       {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977600   2x2_production_polaris   flow2supera   workdir/v0_111_flow2supera    JOB_FINISHED       {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977601   2x2_production_polaris   flow2supera   workdir/v0_112_flow2supera    JOB_FINISHED       {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977602   2x2_production_polaris   flow2supera   workdir/v0_113_flow2supera    JOB_FINISHED       {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977603   2x2_production_polaris   flow2supera   workdir/v0_114_flow2supera    JOB_FINISHED       {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977604   2x2_production_polaris   flow2supera   workdir/v0_115_flow2supera    JOB_FINISHED       {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977605   2x2_production_polaris   flow2supera   workdir/v0_116_flow2supera    JOB_FINISHED       {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
33977606   2x2_production_polaris   flow2supera   workdir/v0_117_flow2supera    JOB_FINISHED       {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_flow2supera_v0', 'job_start': '2'}     
