ID         Site                     App         Workdir                     State          Tags                                                                                                          
33978620   2x2_production_polaris   inference   workdir/v0_109_inference    JOB_FINISHED   {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978621   2x2_production_polaris   inference   workdir/v0_110_inference    JOB_FINISHED   {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978622   2x2_production_polaris   inference   workdir/v0_111_inference    JOB_FINISHED   {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978623   2x2_production_polaris   inference   workdir/v0_112_inference    JOB_FINISHED   {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978624   2x2_production_polaris   inference   workdir/v0_113_inference    JOB_FINISHED   {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978625   2x2_production_polaris   inference   workdir/v0_114_inference    JOB_FINISHED   {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978626   2x2_production_polaris   inference   workdir/v0_115_inference    JOB_FINISHED   {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978627   2x2_production_polaris   inference   workdir/v0_116_inference    JOB_FINISHED   {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978628   2x2_production_polaris   inference   workdir/v0_117_inference    JOB_FINISHED   {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978629   2x2_production_polaris   inference   workdir/v0_118_inference    JOB_FINISHED   {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978630   2x2_production_polaris   inference   workdir/v0_119_inference    JOB_FINISHED   {'index': '119', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978631   2x2_production_polaris   inference   workdir/v0_120_inference    JOB_FINISHED   {'index': '120', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978632   2x2_production_polaris   inference   workdir/v0_121_inference    JOB_FINISHED   {'index': '121', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978633   2x2_production_polaris   inference   workdir/v0_122_inference    FAILED         {'index': '122', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978634   2x2_production_polaris   inference   workdir/v0_123_inference    JOB_FINISHED   {'index': '123', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978635   2x2_production_polaris   inference   workdir/v0_124_inference    JOB_FINISHED   {'index': '124', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978636   2x2_production_polaris   inference   workdir/v0_125_inference    JOB_FINISHED   {'index': '125', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978637   2x2_production_polaris   inference   workdir/v0_126_inference    JOB_FINISHED   {'index': '126', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978638   2x2_production_polaris   inference   workdir/v0_127_inference    JOB_FINISHED   {'index': '127', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978639   2x2_production_polaris   inference   workdir/v0_128_inference    JOB_FINISHED   {'index': '128', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
33978640   2x2_production_polaris   inference   workdir/v0_129_inference    JOB_FINISHED   {'index': '129', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_inference_v0', 'job_start': '2'}     
