ID         Site                     App        Workdir                    State          Tags                                                                                                         
33990664   2x2_production_polaris   analysis   workdir/v2_94_analysis     FAILED         {'index': '94', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990665   2x2_production_polaris   analysis   workdir/v2_95_analysis     JOB_FINISHED   {'index': '95', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990666   2x2_production_polaris   analysis   workdir/v2_96_analysis     JOB_FINISHED   {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990667   2x2_production_polaris   analysis   workdir/v2_97_analysis     JOB_FINISHED   {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990668   2x2_production_polaris   analysis   workdir/v2_98_analysis     JOB_FINISHED   {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990669   2x2_production_polaris   analysis   workdir/v2_99_analysis     JOB_FINISHED   {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}      
33990670   2x2_production_polaris   analysis   workdir/v2_100_analysis    JOB_FINISHED   {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990671   2x2_production_polaris   analysis   workdir/v2_101_analysis    JOB_FINISHED   {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990672   2x2_production_polaris   analysis   workdir/v2_102_analysis    JOB_FINISHED   {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990673   2x2_production_polaris   analysis   workdir/v2_103_analysis    JOB_FINISHED   {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990674   2x2_production_polaris   analysis   workdir/v2_104_analysis    JOB_FINISHED   {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990675   2x2_production_polaris   analysis   workdir/v2_105_analysis    JOB_FINISHED   {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990676   2x2_production_polaris   analysis   workdir/v2_106_analysis    JOB_FINISHED   {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
33990677   2x2_production_polaris   analysis   workdir/v2_107_analysis    FAILED         {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_analysis_v2', 'job_start': '1'}     
