ID         Site                     App     Workdir              State           Tags                                                                                               
33961824   2x2_production_polaris   larnd   workdir/96_larnd     JOB_FINISHED    {'index': '96', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961825   2x2_production_polaris   larnd   workdir/97_larnd     JOB_FINISHED    {'index': '97', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961826   2x2_production_polaris   larnd   workdir/98_larnd     JOB_FINISHED    {'index': '98', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961827   2x2_production_polaris   larnd   workdir/99_larnd     JOB_FINISHED    {'index': '99', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                        
33961828   2x2_production_polaris   larnd   workdir/100_larnd    JOB_FINISHED    {'index': '100', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961829   2x2_production_polaris   larnd   workdir/101_larnd    JOB_FINISHED    {'index': '101', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961830   2x2_production_polaris   larnd   workdir/102_larnd    JOB_FINISHED    {'index': '102', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961831   2x2_production_polaris   larnd   workdir/103_larnd    JOB_FINISHED    {'index': '103', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961832   2x2_production_polaris   larnd   workdir/104_larnd    JOB_FINISHED    {'index': '104', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961833   2x2_production_polaris   larnd   workdir/105_larnd    JOB_FINISHED    {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961834   2x2_production_polaris   larnd   workdir/106_larnd    JOB_FINISHED    {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961835   2x2_production_polaris   larnd   workdir/107_larnd    RESTART_READY   {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961836   2x2_production_polaris   larnd   workdir/108_larnd    JOB_FINISHED    {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961837   2x2_production_polaris   larnd   workdir/109_larnd    JOB_FINISHED    {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961838   2x2_production_polaris   larnd   workdir/110_larnd    JOB_FINISHED    {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961839   2x2_production_polaris   larnd   workdir/111_larnd    JOB_FINISHED    {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961840   2x2_production_polaris   larnd   workdir/112_larnd    JOB_FINISHED    {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961841   2x2_production_polaris   larnd   workdir/113_larnd    JOB_FINISHED    {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961842   2x2_production_polaris   larnd   workdir/114_larnd    JOB_FINISHED    {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
33961843   2x2_production_polaris   larnd   workdir/115_larnd    JOB_FINISHED    {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_larnd_v0'}                       
