ID         Site                     App            Workdir                        State          Tags                                                                                                                
33988509   2x2_production_polaris   inference_v1   workdir/v3_105_inference_v1    JOB_FINISHED   {'index': '105', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988510   2x2_production_polaris   inference_v1   workdir/v3_106_inference_v1    JOB_FINISHED   {'index': '106', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988511   2x2_production_polaris   inference_v1   workdir/v3_107_inference_v1    FAILED         {'index': '107', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988512   2x2_production_polaris   inference_v1   workdir/v3_108_inference_v1    JOB_FINISHED   {'index': '108', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988513   2x2_production_polaris   inference_v1   workdir/v3_109_inference_v1    JOB_FINISHED   {'index': '109', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988514   2x2_production_polaris   inference_v1   workdir/v3_110_inference_v1    JOB_FINISHED   {'index': '110', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988515   2x2_production_polaris   inference_v1   workdir/v3_111_inference_v1    JOB_FINISHED   {'index': '111', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988516   2x2_production_polaris   inference_v1   workdir/v3_112_inference_v1    JOB_FINISHED   {'index': '112', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988517   2x2_production_polaris   inference_v1   workdir/v3_113_inference_v1    JOB_FINISHED   {'index': '113', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988518   2x2_production_polaris   inference_v1   workdir/v3_114_inference_v1    JOB_FINISHED   {'index': '114', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988519   2x2_production_polaris   inference_v1   workdir/v3_115_inference_v1    JOB_FINISHED   {'index': '115', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988520   2x2_production_polaris   inference_v1   workdir/v3_116_inference_v1    JOB_FINISHED   {'index': '116', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988521   2x2_production_polaris   inference_v1   workdir/v3_117_inference_v1    JOB_FINISHED   {'index': '117', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988522   2x2_production_polaris   inference_v1   workdir/v3_118_inference_v1    JOB_FINISHED   {'index': '118', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}     
33988523   2x2_production_polaris   inference_v1   workdir/v3_0_inference_v1      FAILED         {'index': '0', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988524   2x2_production_polaris   inference_v1   workdir/v3_1_inference_v1      JOB_FINISHED   {'index': '1', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
33988525   2x2_production_polaris   inference_v1   workdir/v3_2_inference_v1      JOB_FINISHED   {'index': '2', 'workflow': 'MiniRun5_1E19_RHC_W_ION_Systematics_mlreco_v1_inference_v1_v3', 'job_start': '0'}       
